Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974
Saudi Arabia,0,7,1,2,4,2,0,0,3,0,0,0,3,2,7,,2,9,0,,0,0,1,0,1,1,8,2,2,1,8,14,21,33,65,128,210,188,177,99,121,169,90,318,266,487
Senegal,0,0,0,,0,0,,,,,0,,0,,0,,,,,,,0,0,,,,,,,,,,,,,,162,100,91,291,210,215,290,373,399,424
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,4,15,8,10
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,,0,,,0,,
Sierra Leone,,,,,,,,,,,,,0,0,0,,0,,,0,,,0,,,,,,,,,,10,0,0,804,,,0,0,,,,,,
Singapore,,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,1,1,1,1,0,1,1,0,0,4,6,0,0,0,0,1,0,0,4
Slovakia,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Solomon Islands,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,6,,,,,7,65,,,,,,,,,,,,,,0,,,,,,,,,24,3,7,6,19,58,206,,,,,,,,,
South Africa,0,4,4,0,15,,,,0,,1,,,,,0,3,1,0,2,0,4,3,0,,,5,3,12,34,12,19,28,19,46,44,29,27,63,57,91,203,286,351,487,503
South Sudan,,,0,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,7,17,8,4,10,23,22
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,1,0,0,1,0,1,0,0,0,0,3,10,20,26,22,36,37,101,216,145,152,310,251
Sudan,82,,2,0,,11,0,18,193,1,4,38,7,15,13,70,156,26,28,26,21,67,15,17,17,79,42,121,432,1342,382,845,310,892,342,166,156,1008,982,587,883,1816,1641,750,431,1640
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,3,0,0,,
Sweden,4,0,0,4,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,3,10,10,14,0,0,4,4,5,2,0,1,0,0
Switzerland,,5,1,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6,4,4,6,12,3
Syrian Arab Republic,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,5,59,13,61,31,16,91,70,80,173,203,303,332,400,448,353,498,493,366,670,407,249,393,502,561
Tajikistan,,0,0,0,,0,0,0,0,0,0,2,3,2,3,3,14,11,3,11,35,166,723,1496,4455,1912,678,14,5,11,,,,,,,,,,,,,,,,
Thailand,70,90,5,16,19,19,28,63,28,77,12,8,3,2,1,13,9,13,11,15,52,43,38,53,19,40,28,40,53,58,87,216,536,632,762,1021,1038,1125,794,1918,2009,1773,2290,2345,1934,1905
Timor-Leste,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,7,25,42
Tunisia,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,2,4,2,2,4,7,11,14,10,20,6,33
Turkey,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,5,4,4,6,2,22,4,49,49,8,16,20,17,11,26,36,145,155,361,131,136,86,107,93,142,170,265,470
Turkmenistan,0,0,0,0,0,0,0,1,2,2,5,11,5,3,2,2,2,1,2,30,49,18,38,80,87,60,3,22,4,4,,,,,,,,,,,,,,,,
Tuvalu,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,,,,,,,,,,,,,,,0,,,0,,,0,0,,,,,,,,95,78,4,,,,,0,3,32,181,0,0,380,47,228,
Ukraine,0,10,0,4,2,,,5,8,17,,61,81,68,98,123,158,285,283,365,375,706,1364,3159,5277,3003,2976,1553,1103,109,,,,,,,,,,,,,,,,
United Arab Emirates,0,,,,,0,,0,,1,,0,,,0,0,0,0,0,0,1,0,0,0,0,2,3,7,9,0,4,15,12,26,12,12,2,1,3,20,1,4,2,1,0,
United Kingdom of Great Britain and Northern Ireland,12,15,6,1,1,0,1,0,2,0,3,5,3,3,0,0,3,6,4,2,,0,,4,1,4,5,3,1,2,2,2,2,4,4,4,4,4,2,5,0,0,3,2,12,3
United Republic of Tanzania,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,5,5,160,4,8,43,136,35,,
United States of America,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,5,2,0,2,0,4,5,4,3,2,3,0,3,1,5,2,5,3,59,76,84,128,307,272
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Uzbekistan,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,5,4,28,163,638,232,137,29,16,12,,,,,,,,,,,,,,,,
Vanuatu,2,0,,,,,0,0,0,0,0,0,0,,,,,5,,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),164,775,786,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,30,22,12,31,24,21,23,50,31,16,39,80,269,205,92
Viet Nam,53,13,21,13,15,16,11,12,13,6,8,17,32,25,36,49,105,105,133,113,81,130,152,143,167,166,167,497,511,509,639,983,1827,1974,2361,2389,3487,2921,2688,1730,1309,2446,2476,2199,738,418
Yemen,277,2609,30,,,,7,0,2,7,0,5,10,36,8,2,,,,,3,24,,,54,6,,269,1,,4615,310,376,244,981,997,981,555,284,555,40,6,116,346,51,
Zambia,,0,0,1,1,,0,0,0,0,0,3,0,7,11,4,31,25,50,0,68,,0,,,,,,,4,52,22,14,19,35,16,27,19,29,12,16,73,70,16,49,87
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,1,0,0,0,0,12,4,27,25,13,7,8,7,32,5,10,,73
